Year,Total,Male,Female,age_15-19,age_20-24,age_25-29,age_30-34,age_35-39,age_40-44,age_45-49,age_50-54,age_55-59,age_60-64,age_65_over,Junior_high_and_below,Primary_school_and_below,Junior_high,Senior_high_and_vocational,Senior_high,vocational,Junior_college_and_above,Junior_college,University_and_above
2008M01,3.8,4.08,3.43,8.95,10.23,5.7,3.95,2.5,2.63,2.84,2.18,2.13,1.46,0.07,3.47,2.44,4.19,3.95,3.77,4.01,3.88,3.17,4.43
2008M02,3.94,4.25,3.52,8.9,10.81,5.81,3.87,2.95,2.56,2.99,2.29,2.28,1.89,0.13,3.77,2.92,4.36,4.05,3.48,4.23,3.95,3.23,4.49
2008M03,3.86,4.15,3.48,9.26,11.09,5.92,3.55,2.81,2.38,2.73,2.4,2.36,1.5,0.25,3.7,2.76,4.35,3.95,3.67,4.04,3.88,3.1,4.48
2008M04,3.81,4.03,3.52,8.05,10.85,6.03,3.71,2.62,2.33,2.89,2.4,2.05,1.01,0.1,3.58,2.31,4.46,3.88,4.05,3.83,3.89,3.3,4.34
2008M05,3.84,3.96,3.67,9.47,10.53,6.22,3.66,2.74,2.51,2.74,2.19,2.24,1.03,0.23,3.62,2.63,4.3,4.06,4.27,3.99,3.78,3.12,4.28
2008M06,3.95,4.12,3.73,12.22,11.29,6.17,3.61,2.94,2.63,2.51,2.27,2.44,0.55,0.72,3.53,2.49,4.26,4.21,4.49,4.12,3.98,3.26,4.51
2008M07,4.06,4.24,3.83,12.09,12.87,6.28,3.74,2.75,2.64,2.36,2.44,2.01,0.48,0.26,3.51,2.11,4.48,4.19,4.54,4.07,4.29,3.28,5.03
2008M08,4.14,4.21,4.06,13.51,13.3,6.58,3.59,2.76,2.57,2.08,2.59,1.93,1.32,0.08,3.38,2.02,4.33,4.29,4.61,4.18,4.47,3.37,5.26
2008M09,4.27,4.37,4.14,14.72,13.08,6.53,3.94,3.05,2.5,2.52,2.69,2.18,1.71,0.17,3.74,2.73,4.45,4.54,4.8,4.46,4.35,3.54,4.94
2008M10,4.37,4.63,4.02,12.72,12.8,6.84,4.16,2.98,2.37,2.84,3.14,2.46,1.95,-,3.76,2.71,4.48,4.72,4.59,4.76,4.43,3.73,4.93
2008M11,4.64,5.06,4.1,13.21,12.79,7.26,4.27,3.32,2.78,3.03,3.5,3,1.57,-,4.17,3.16,4.87,4.92,4.9,4.92,4.69,3.89,5.25
2008M12,5.03,5.51,4.41,13.06,13.04,7.23,4.62,4.22,3.61,3.6,3.65,2.85,2,0.1,4.92,3.69,5.77,5.31,5.19,5.34,4.87,4.29,5.28
2009,5.85,6.53,4.96,13.55,14.67,8.77,5.82,4.64,4.23,4.27,4.14,3.54,2,0.13,5.84,4.35,6.83,6.19,6.07,6.23,5.57,4.96,5.98
2009M01,5.31,5.89,4.56,14.36,13.44,7.71,5.15,4.43,3.65,3.83,3.84,3.11,1.87,0.1,5.1,3.73,6.02,5.84,5.71,5.89,4.99,4.6,5.26
2009M02,5.75,6.38,4.93,15.83,14.32,8.4,5.79,4.53,3.93,4.24,4.14,3.62,1.83,-,5.84,4.28,6.89,6.19,6.07,6.23,5.33,5.05,5.52
2009M03,5.81,6.46,4.95,14.83,14.28,8.56,5.91,4.6,4,4.43,4.03,3.78,1.86,-,5.97,4.37,7.04,6.16,6.18,6.16,5.42,5.13,5.62
2009M04,5.76,6.45,4.85,12.71,13.84,8.63,5.9,4.47,4.08,4.58,4.04,3.66,1.8,0.11,5.97,4.54,6.93,6.05,6.06,6.05,5.39,5.06,5.62
2009M05,5.82,6.48,4.95,13.17,13.66,8.82,6.23,4.44,4.07,4.51,4.19,3.52,1.89,0.16,6.15,4.79,7.05,6.13,6.01,6.16,5.38,5.02,5.63
2009M06,5.94,6.64,5.01,15.12,14.85,8.67,5.99,4.79,4.25,4.38,4.36,3.48,2.02,0.18,6.14,4.68,7.11,6.27,6.21,6.29,5.54,5.08,5.86
2009M07,6.07,6.81,5.11,14.38,15.77,9.03,5.8,5.06,4.38,4.37,4.14,3.75,2.05,-,6.21,4.76,7.16,6.33,6.23,6.36,5.79,5.14,6.22
2009M08,6.13,6.82,5.24,13.2,16.28,9.21,5.87,5.11,4.34,4.25,4.2,3.75,1.75,0.36,6.11,4.63,7.08,6.39,6.14,6.47,5.93,5.22,6.41
2009M09,6.04,6.68,5.21,13.73,15.87,9.22,5.92,4.85,4.4,4.1,4.29,3.34,1.87,0.34,5.82,4.33,6.8,6.37,6.15,6.44,5.89,5.05,6.46
2009M10,5.96,6.67,5.03,12.26,15.34,9.06,5.9,4.71,4.64,3.98,4.21,3.45,2.48,0.29,5.8,4.21,6.85,6.24,6.27,6.23,5.82,4.84,6.47
2009M11,5.86,6.57,4.94,11.97,14.63,9,5.76,4.46,4.51,4.15,4.12,3.67,2.49,-,5.62,4.07,6.65,6.19,6.01,6.25,5.72,4.68,6.41
2009M12,5.74,6.49,4.76,11.41,13.82,8.89,5.63,4.28,4.53,4.37,4.1,3.39,2.08,-,5.35,3.8,6.39,6.15,5.81,6.25,5.62,4.72,6.21
2010,5.21,5.8,4.45,10.93,13.51,8.15,5.19,4.1,3.77,3.89,3.5,3.06,1.5,0.19,4.83,3.27,5.84,5.58,5.43,5.63,5.12,4.33,5.62
2010M01,5.68,6.37,4.79,11.23,13.6,8.59,5.68,4.41,4.47,4.36,4.1,3.61,1.75,0.12,5.31,3.87,6.26,6.14,5.71,6.27,5.52,4.78,6.01
2010M02,5.76,6.55,4.72,11,13.68,8.54,5.93,4.63,4.56,4.35,4.2,3.67,1.66,0.43,5.41,3.92,6.41,6.17,6.04,6.21,5.61,5.12,5.94
2010M03,5.67,6.5,4.6,10.67,13.65,8.62,5.8,4.51,4.46,4.12,4.03,3.77,1.59,0.37,5.33,3.75,6.37,6.01,5.84,6.07,5.58,5.15,5.86
2010M04,5.39,6.09,4.47,10.43,13.02,8.33,5.53,4.57,4.03,3.85,3.57,3.62,1.73,-,5.04,3.48,6.06,5.82,5.49,5.93,5.23,4.8,5.52
2010M05,5.14,5.73,4.38,10.99,12.65,7.94,5.37,4.27,3.68,3.76,3.46,3.18,1.53,-,4.82,3.24,5.85,5.56,5.21,5.67,4.98,4.54,5.27
2010M06,5.16,5.74,4.4,11.68,13.05,7.99,5.19,4.12,3.61,3.89,3.52,3.02,1.87,0.19,4.86,3.14,5.98,5.49,5.14,5.6,5.04,4.36,5.49
2010M07,5.2,5.71,4.55,11.26,13.58,8.15,5.27,4.2,3.47,4.05,3.43,2.7,1.62,-,4.8,2.97,5.99,5.55,5.21,5.66,5.13,4.18,5.74
2010M08,5.17,5.66,4.54,11.44,14.09,8.28,5.13,4.07,3.44,3.81,3.27,2.56,1.23,0.56,4.76,3.05,5.86,5.48,5.38,5.51,5.13,4.19,5.73
2010M09,5.05,5.59,4.35,12.7,14.5,7.91,4.83,3.93,3.48,3.71,3.27,2.45,1.3,0.11,4.58,3.09,5.54,5.37,5.49,5.33,5.04,3.9,5.76
2010M10,4.92,5.4,4.3,10.51,14.14,8.12,4.48,3.68,3.42,3.68,3.07,2.68,1.19,0.14,4.37,2.94,5.29,5.26,5.34,5.24,4.93,3.81,5.63
2010M11,4.73,5.15,4.2,9.54,13.43,7.72,4.48,3.4,3.3,3.63,2.97,2.72,1.34,0.2,4.32,2.93,5.21,5.1,5.12,5.09,4.66,3.62,5.32
2010M12,4.67,5.13,4.08,9.64,12.67,7.61,4.6,3.37,3.29,3.47,3.08,2.82,1.24,0.15,4.3,2.86,5.22,5.05,5.23,4.99,4.56,3.51,5.22
2011,4.39,4.71,3.96,11.22,12.71,7.11,4.32,3.32,3.02,2.99,2.66,2.44,1.57,0.15,3.69,2.52,4.44,4.66,4.75,4.63,4.51,3.4,5.18
2011M01,4.64,5.06,4.11,10.59,12.6,7.56,4.77,3.5,3.23,3.33,2.96,2.56,1,0.08,4.21,2.8,5.12,4.97,5.26,4.88,4.6,3.55,5.25
2011M02,4.69,5.15,4.1,11.97,13.03,7.46,4.86,3.67,3.17,3.2,2.77,2.9,1.43,-,4.22,2.89,5.08,4.95,5.05,4.92,4.71,3.66,5.37
2011M03,4.48,4.89,3.95,11.88,12.52,7.33,4.51,3.5,3.03,2.98,2.61,2.58,1.88,0.2,4.09,2.77,4.94,4.7,4.74,4.68,4.5,3.51,5.12
2011M04,4.29,4.59,3.91,11.31,12.37,7.22,4.11,3.22,2.95,3.01,2.61,2.2,1.41,0.18,3.76,2.49,4.56,4.7,4.61,4.73,4.24,3.32,4.8
2011M05,4.27,4.59,3.86,10.25,12,7.28,4.22,3.14,2.91,3.1,2.48,2.19,1.76,0.21,3.67,2.46,4.44,4.61,4.36,4.7,4.3,3.36,4.88
2011M06,4.35,4.65,3.95,11.26,12.71,7.1,4.3,3.23,2.83,2.93,2.66,2.57,1.79,0.25,3.58,2.55,4.24,4.61,4.58,4.62,4.52,3.46,5.17
2011M07,4.41,4.68,4.06,11.24,13.25,6.96,4.2,3.28,3.04,3,2.81,2.47,1.55,0.11,3.54,2.51,4.2,4.67,4.67,4.67,4.63,3.5,5.31
2011M08,4.45,4.68,4.15,11.72,13.58,7.14,4.06,3.33,2.96,2.98,2.67,2.57,1.63,0.19,3.56,2.46,4.27,4.68,4.57,4.71,4.7,3.39,5.47
2011M09,4.28,4.59,3.89,11.53,12.97,6.74,4.17,3.17,3.03,2.87,2.48,2.42,1.71,0.21,3.32,2.26,3.99,4.52,4.64,4.48,4.56,3.3,5.31
2011M10,4.3,4.63,3.88,11.61,12.84,6.89,4.23,3.19,3.07,2.77,2.57,2.39,1.71,0.22,3.44,2.35,4.13,4.56,4.88,4.45,4.52,3.26,5.26
2011M11,4.28,4.58,3.89,11.07,12.49,6.86,4.24,3.25,3.02,2.92,2.74,2.12,1.57,0.12,3.5,2.43,4.18,4.51,4.82,4.4,4.47,3.29,5.17
2011M12,4.18,4.47,3.81,10.1,12.1,6.75,4.13,3.33,2.96,2.79,2.56,2.35,1.35,0.09,3.37,2.27,4.07,4.46,4.88,4.32,4.35,3.21,5.01
2012,4.24,4.49,3.92,9.8,13.17,7.08,4.34,3.37,2.76,2.55,2.35,2.14,1.69,0.17,3.52,2.32,4.27,4.22,4.45,4.15,4.58,3.18,5.37
2012M01,4.18,4.43,3.87,10.72,11.81,6.88,4.25,3.35,2.87,2.7,2.43,2.4,1.65,0.17,3.36,2.35,4.01,4.47,4.96,4.31,4.35,3.09,5.09
2012M02,4.25,4.54,3.89,11.19,12.24,7.05,4.39,3.44,2.75,2.64,2.39,2.51,1.77,0.2,3.4,2.44,4.01,4.47,4.82,4.36,4.49,3.2,5.24
2012M03,4.17,4.49,3.77,10.27,12.57,7.14,4.4,3.21,2.62,2.42,2.39,2.29,1.59,0.18,3.41,2.22,4.16,4.32,4.63,4.22,4.41,3.17,5.14
2012M04,4.1,4.4,3.72,9.53,12.15,6.89,4.42,3.15,2.77,2.32,2.57,2.11,1.63,0.13,3.46,2.33,4.16,4.21,4.39,4.16,4.32,3.14,5.01
2012M05,4.12,4.4,3.76,9.29,12.19,7.02,4.59,3.07,2.88,2.45,2.26,1.89,1.84,0.06,3.48,2.3,4.21,4.15,4.29,4.11,4.4,3.26,5.05
2012M06,4.21,4.48,3.87,9.68,12.84,6.93,4.45,3.26,2.77,2.58,2.55,2.03,1.81,0.19,3.58,2.2,4.43,4.13,4.42,4.03,4.57,3.18,5.36
2012M07,4.31,4.52,4.03,10.05,13.51,7.27,4.37,3.45,2.7,2.7,2.34,1.89,1.73,0.2,3.49,2.2,4.3,4.19,4.53,4.08,4.76,3.2,5.64
2012M08,4.4,4.56,4.2,9.31,14.41,7.38,4.36,3.48,2.81,2.59,2.28,2.11,1.66,0.23,3.55,2.36,4.31,4.23,4.36,4.18,4.92,3.26,5.84
2012M09,4.32,4.53,4.04,9.84,14.21,7.21,4.23,3.5,2.89,2.47,2.09,2.24,1.61,0.21,3.62,2.38,4.4,4.13,4.19,4.11,4.77,3.15,5.68
2012M10,4.33,4.55,4.06,9.61,14.26,7.2,4.13,3.57,2.85,2.51,2.27,2.15,1.88,0.13,3.69,2.35,4.53,4.15,4.3,4.1,4.75,3.26,5.58
2012M11,4.27,4.53,3.93,9.73,14.06,7.08,4.2,3.48,2.67,2.56,2.26,2.09,1.7,0.2,3.67,2.4,4.47,4.11,4.27,4.06,4.65,3.17,5.48
2012M12,4.18,4.41,3.88,8.28,13.58,6.92,4.25,3.43,2.54,2.66,2.39,1.98,1.38,0.19,3.54,2.31,4.32,4.12,4.2,4.1,4.5,3.09,5.29
2013,4.18,4.47,3.8,9.65,13.75,7.11,4.2,3.37,2.51,2.59,2.26,2.15,1.32,0.14,3.53,2.29,4.29,4.11,4.25,4.06,4.5,3.11,5.26
2013M01,4.16,4.44,3.81,8.53,13.22,6.9,4.28,3.49,2.42,2.73,2.3,2.2,1.46,0.19,3.65,2.49,4.37,4.14,4.09,4.16,4.41,3.1,5.13
2013M02,4.24,4.54,3.85,9.45,13.58,7.11,4.17,3.53,2.48,2.76,2.42,2.32,1.28,0.21,3.74,2.48,4.51,4.2,4.21,4.2,4.49,3.05,5.29
2013M03,4.17,4.44,3.81,8.62,13.35,7.18,4.12,3.34,2.62,2.65,2.27,2.19,1.48,0.17,3.59,2.32,4.37,4.13,4.24,4.1,4.45,3.11,5.19
2013M04,4.07,4.39,3.66,9.59,13.04,6.87,4.13,3.4,2.44,2.51,2.15,2.29,1.42,0.17,3.52,2.23,4.31,4.06,4.23,4,4.32,3.06,5.02
2013M05,4.06,4.42,3.6,9.91,12.74,6.95,4.21,3.48,2.5,2.42,2.14,2.03,1.41,0.13,3.6,2.17,4.47,4,4.33,3.89,4.3,3.11,4.96
2013M06,4.14,4.46,3.73,9.58,13.34,7.13,4.18,3.31,2.63,2.56,2.22,2.19,1.18,0.18,3.53,2.13,4.39,4.05,4.42,3.93,4.47,3.02,5.25
2013M07,4.25,4.51,3.91,9.66,14.05,7.3,4.23,3.37,2.5,2.5,2.29,2.33,1.35,0.2,3.54,2.24,4.34,4.08,4.43,3.96,4.67,3.11,5.51
2013M08,4.33,4.58,4,10,14.77,7.28,4.24,3.42,2.37,2.67,2.47,2.16,1.41,0.08,3.48,2.26,4.23,4.13,4.32,4.06,4.83,3.23,5.68
2013M09,4.24,4.47,3.94,10.07,14.57,7.16,4.23,3.29,2.53,2.61,2.32,2.02,1.29,0.05,3.37,2.21,4.08,4.18,4.34,4.13,4.65,3.15,5.45
2013M10,4.24,4.49,3.93,10.35,14.46,7.25,4.29,3.41,2.56,2.54,2.2,1.92,1.31,0.18,3.47,2.2,4.24,4.18,4.21,4.16,4.61,3.22,5.35
2013M11,4.16,4.46,3.77,10.4,14.08,7.21,4.24,3.22,2.44,2.57,2.19,2.02,1.07,0.03,3.49,2.33,4.18,4.11,4.17,4.09,4.47,3.07,5.21
2013M12,4.08,4.43,3.63,9.63,13.66,7.03,4.12,3.15,2.59,2.53,2.12,2.09,1.26,0.14,3.37,2.36,3.98,4.08,4.07,4.08,4.37,3.1,5.03
2014,3.96,4.27,3.56,8.78,13.25,6.84,4.04,3.26,2.58,2.37,2.12,2.04,1.23,0.1,3.2,2.04,3.87,3.83,3.79,3.85,4.35,3.09,4.99
2014M01,4.02,4.41,3.52,9.67,13.18,6.84,4,3.21,2.63,2.48,2.3,2.2,1.08,0.17,3.43,2.27,4.11,3.98,3.85,4.02,4.29,3.11,4.9
2014M02,4.09,4.54,3.52,9.87,13.38,7.08,4.07,3.33,2.59,2.6,2.19,2.23,1.31,-,3.53,2.28,4.27,3.97,3.99,3.97,4.4,3.2,5.03
2014M03,4.03,4.36,3.6,8.41,13.23,7.01,4.01,3.51,2.65,2.45,2.03,2.1,1.43,0.16,3.51,2.31,4.21,3.84,3.76,3.86,4.38,3.22,4.98
2014M04,3.91,4.29,3.43,8.69,12.84,6.91,3.97,3.32,2.51,2.37,1.94,2,1.39,0.15,3.35,2.2,4.02,3.8,3.88,3.78,4.21,3.06,4.8
2014M05,3.85,4.21,3.4,8.21,12.35,6.85,4.1,3.22,2.65,2.39,1.86,1.95,1.16,-,3.34,2.15,4.03,3.72,3.75,3.71,4.16,3.1,4.7
2014M06,3.92,4.23,3.53,8.55,12.88,6.85,4.03,3.25,2.71,2.34,2,2.11,1.22,0.16,3.22,2.05,3.9,3.77,3.74,3.78,4.3,3.11,4.91
2014M07,4.02,4.28,3.68,8.56,13.54,7.01,4.07,3.29,2.67,2.26,2.14,2.17,1.22,0.14,3.18,2.04,3.84,3.82,3.8,3.83,4.48,3.16,5.15
2014M08,4.08,4.37,3.73,8.65,14.02,6.93,4.16,3.2,2.57,2.41,2.24,2.31,1.23,0.15,3.1,2.04,3.72,3.9,3.9,3.9,4.59,3.12,5.33
2014M09,3.96,4.29,3.56,8.15,13.69,6.74,3.98,3.24,2.56,2.35,2.19,2.08,1.21,0.16,2.92,1.76,3.59,3.84,3.83,3.84,4.45,3.11,5.13
2014M10,3.95,4.17,3.66,9.24,13.62,6.68,4.04,3.22,2.62,2.27,2.23,1.85,1.23,0.1,2.99,1.82,3.65,3.75,3.7,3.77,4.45,3.05,5.15
2014M11,3.89,4.11,3.62,9.23,13.36,6.61,3.99,3.2,2.5,2.31,2.25,1.75,1.22,0.03,2.94,1.82,3.58,3.78,3.56,3.85,4.34,3.01,5
2014M12,3.79,4,3.52,8.12,12.82,6.52,4.06,3.14,2.35,2.26,2.1,1.75,1.02,-,2.81,1.68,3.46,3.8,3.67,3.84,4.15,2.83,4.8
2015,3.78,4.05,3.44,8.63,12.59,6.55,3.97,3.14,2.37,2.36,2.06,1.76,1.16,0.14,2.77,1.84,3.29,3.83,3.8,3.84,4.13,2.75,4.79
2015M01,3.71,3.94,3.42,8.39,12.52,6.23,4.13,3.08,2.29,2.16,2.16,1.63,1.05,0.13,2.79,1.73,3.39,3.73,3.58,3.78,4.05,2.74,4.7
2015M02,3.69,3.95,3.36,8.26,12.32,6.32,4.01,3.14,2.22,2.34,2.14,1.54,0.95,0.13,2.68,1.57,3.31,3.71,3.4,3.82,4.06,2.68,4.75
2015M03,3.72,3.98,3.38,7.67,12.19,6.55,4.1,3.08,2.1,2.4,2.09,1.64,1.22,0.17,2.74,1.72,3.33,3.78,3.57,3.85,4.04,2.68,4.71
2015M04,3.63,3.94,3.24,7.77,12.06,6.27,4.15,2.92,2.17,2.27,2.1,1.51,1.02,0.14,2.6,1.56,3.19,3.79,3.57,3.87,3.91,2.64,4.54
2015M05,3.62,3.96,3.2,7.77,11.71,6.43,3.96,3,2.24,2.34,2.03,1.64,1.03,0.15,2.6,1.75,3.08,3.86,3.78,3.89,3.85,2.58,4.47
2015M06,3.71,4.06,3.27,8.43,12.27,6.58,3.92,3.06,2.29,2.47,2.02,1.73,0.83,0.16,2.67,1.73,3.19,3.85,3.86,3.85,4.01,2.68,4.66
2015M07,3.82,4.09,3.47,8.49,12.91,6.65,3.88,3.11,2.44,2.52,2.01,1.83,1.01,0.11,2.73,1.71,3.31,3.88,3.99,3.84,4.19,2.76,4.88
2015M08,3.9,4.14,3.6,8.69,13.64,6.71,3.95,3.17,2.56,2.38,1.95,1.72,1.17,0.16,2.75,1.85,3.26,3.9,4.01,3.86,4.33,2.78,5.07
2015M09,3.89,4.13,3.59,8.95,13.28,6.79,3.96,3.27,2.48,2.26,2.01,1.91,1.18,0.14,2.77,1.97,3.22,3.87,3.96,3.84,4.31,2.8,5.04
2015M10,3.9,4.12,3.61,9.69,12.88,6.78,3.84,3.26,2.56,2.4,2.09,1.94,1.36,0.1,2.88,2.16,3.28,3.86,3.91,3.85,4.29,2.85,4.98
2015M11,3.91,4.14,3.62,9.6,12.73,6.63,3.86,3.32,2.63,2.35,2.16,2.04,1.55,0.18,2.99,2.21,3.43,3.87,4.01,3.82,4.26,2.97,4.88
2015M12,3.87,4.12,3.56,9.71,12.49,6.7,3.93,3.31,2.44,2.4,2.01,2.04,1.53,0.16,2.99,2.2,3.43,3.87,3.93,3.85,4.19,2.86,4.82
2016,3.92,4.19,3.57,8.94,12.62,6.76,3.79,3.41,2.66,2.51,2.15,1.92,1.63,0.17,3.09,2.31,3.52,3.9,3.99,3.87,4.23,2.91,4.84
2016M01,3.87,4.11,3.58,9.13,12.4,6.69,3.89,3.36,2.56,2.54,2.01,1.94,1.37,0.19,3,2.12,3.49,3.84,3.87,3.83,4.21,2.98,4.8
2016M02,3.95,4.2,3.64,8.29,12.46,6.83,3.98,3.48,2.62,2.6,2.15,2.02,1.52,0.17,3.16,2.26,3.66,3.91,3.92,3.91,4.27,2.96,4.9
2016M03,3.89,4.17,3.54,8.5,12.37,6.8,3.85,3.35,2.68,2.47,2.08,2.02,1.53,0.13,3.13,2.32,3.57,3.83,3.73,3.86,4.21,2.86,4.85
2016M04,3.86,4.14,3.5,8.66,12.27,6.83,3.89,3.35,2.56,2.4,2.08,1.93,1.52,0.16,3.18,2.32,3.66,3.82,3.8,3.83,4.12,2.91,4.7
2016M05,3.84,4.12,3.48,8.35,11.9,6.62,3.89,3.39,2.56,2.52,2.14,2.1,1.51,-,3.14,2.18,3.67,3.89,3.91,3.88,4.05,2.92,4.59
2016M06,3.92,4.21,3.56,8.65,12.36,6.55,3.72,3.45,2.74,2.66,2.28,2.15,1.67,-,3.19,2.31,3.68,3.93,4.17,3.85,4.18,2.88,4.79
2016M07,4.02,4.27,3.69,8.71,13.05,6.85,3.65,3.55,2.65,2.63,2.36,2.1,1.6,0.36,3.15,2.37,3.58,3.98,4.1,3.94,4.35,2.95,5
2016M08,4.08,4.31,3.78,9.05,13.43,6.98,3.71,3.52,2.77,2.58,2.27,1.98,1.82,0.37,3.13,2.38,3.54,4.04,4.23,3.97,4.44,3,5.11
2016M09,3.99,4.27,3.64,9.15,13.03,6.86,3.68,3.47,2.82,2.5,2.2,1.88,1.73,0.37,3.06,2.36,3.45,3.99,4.15,3.94,4.32,2.96,4.95
2016M10,3.95,4.25,3.56,9.63,12.88,6.79,3.75,3.4,2.76,2.43,2.12,1.76,1.96,-,3.05,2.48,3.36,3.91,4.05,3.87,4.28,2.91,4.91
2016M11,3.87,4.16,3.5,9.55,12.73,6.67,3.72,3.31,2.66,2.41,2.09,1.62,1.8,0.16,2.98,2.37,3.31,3.88,4.02,3.83,4.17,2.81,4.8
2016M12,3.79,4.08,3.43,9.6,12.49,6.63,3.72,3.23,2.6,2.37,2,1.51,1.55,0.17,2.89,2.27,3.22,3.82,3.93,3.78,4.09,2.76,4.7
2017,3.76,4,3.45,8.77,12.38,6.58,3.53,3.26,2.63,2.26,2.05,1.65,1.71,0.11,2.9,2.2,3.27,3.74,3.86,3.69,4.06,2.77,4.65
2017M01,3.78,4.05,3.44,9.76,12.35,6.58,3.67,3.17,2.68,2.28,2.12,1.54,1.72,0.16,2.95,2.25,3.32,3.8,3.93,3.75,4.06,2.79,4.65
2017M02,3.85,4.15,3.48,9.65,12.57,6.71,3.64,3.3,2.7,2.34,2.13,1.6,1.99,0.18,3.03,2.36,3.38,3.85,4.03,3.79,4.14,2.85,4.73
2017M03,3.78,4.06,3.44,9.59,12.37,6.64,3.59,3.22,2.65,2.27,2.11,1.56,1.95,0.11,2.94,2.27,3.3,3.79,3.93,3.74,4.07,2.79,4.66
2017M04,3.67,3.97,3.31,8.96,12.01,6.61,3.52,3.17,2.49,2.2,2,1.54,1.69,0.14,2.86,2.15,3.24,3.68,3.74,3.66,3.95,2.7,4.53
2017M05,3.66,3.94,3.32,8.61,11.91,6.53,3.61,3.21,2.51,2.21,1.93,1.62,1.61,-,2.85,2.14,3.23,3.7,3.73,3.69,3.92,2.74,4.47
2017M06,3.74,3.99,3.41,8.75,12.38,6.54,3.47,3.27,2.63,2.28,2.02,1.73,1.55,0.16,2.92,2.3,3.25,3.73,3.83,3.7,4.02,2.78,4.58
2017M07,3.84,4.07,3.55,8.82,12.96,6.63,3.48,3.32,2.71,2.3,2.1,1.83,1.57,0.15,2.94,2.24,3.31,3.79,3.94,3.74,4.18,2.85,4.78
2017M08,3.89,4.1,3.63,8.72,13.18,6.71,3.5,3.32,2.77,2.34,2.04,1.86,1.71,0.14,2.92,2.29,3.26,3.82,4.02,3.75,4.26,2.9,4.88
2017M09,3.77,3.97,3.51,8.41,12.7,6.57,3.4,3.26,2.71,2.27,1.94,1.72,1.58,0.12,2.77,1.99,3.19,3.75,3.93,3.68,4.11,2.8,4.7
2017M10,3.75,3.97,3.47,8.03,12.33,6.55,3.48,3.3,2.66,2.21,2.03,1.7,1.69,0.11,2.86,2.1,3.26,3.7,3.84,3.65,4.07,2.75,4.67
2017M11,3.71,3.92,3.45,8,12,6.5,3.51,3.32,2.57,2.19,2.07,1.63,1.72,0.12,2.9,2.2,3.27,3.65,3.75,3.62,4.02,2.68,4.62
2017M12,3.66,3.87,3.39,7.98,11.78,6.43,3.45,3.29,2.49,2.21,2.09,1.51,1.73,-,2.85,2.06,3.26,3.6,3.69,3.58,3.96,2.64,4.56
2018,,,,,,,,,,,,,,,,,,,,,,,
2018M01,3.63,3.84,3.37,7.88,11.65,6.35,3.45,3.34,2.44,2.14,2.11,1.48,1.73,-,2.82,2.08,3.21,3.59,3.69,3.55,3.93,2.58,4.53
2018M02,3.7,3.89,3.46,8.1,11.89,6.46,3.39,3.42,2.48,2.19,2.18,1.61,1.88,-,2.89,2.17,3.26,3.64,3.8,3.59,4.01,2.64,4.62
2018M03,3.66,3.87,3.39,8.06,11.75,6.4,3.33,3.36,2.45,2.15,2.11,1.53,1.98,0.45,2.87,2.25,3.2,3.6,3.75,3.55,3.95,2.61,4.55
2018M04,3.64,3.85,3.37,8.49,11.6,6.33,3.39,3.33,2.45,2.19,2.05,1.53,1.95,0.3,2.91,2.24,3.26,3.55,3.69,3.51,3.93,2.65,4.51
2018M05,3.63,3.84,3.37,8.26,11.54,6.28,3.43,3.3,2.49,2.22,2.02,1.62,1.92,-,2.94,2.27,3.29,3.55,3.73,3.48,3.91,2.67,4.47
2018M06,3.7,3.89,3.46,8.57,11.89,6.35,3.41,3.36,2.54,2.19,2.02,1.74,2.11,0.13,3,2.4,3.31,3.6,3.82,3.52,4,2.74,4.56
