Year,"Suicide rate, standarized","Suicide rate, crude"
83,7.1,6.9
84,7.8,7.6
85,8.7,8.6
86,10,10
87,9.8,10
88,10,10.4
89,10.7,11.1
90,11.7,12.4
91,12.5,13.6
92,12.8,14.2
93,13.6,15.3
94,16.6,18.8
95,16.8,19.3
96,14.7,17.2
97,15.2,17.9
98,14.7,17.6
99,13.8,16.8
100,12.3,15.1
101,13.1,16.2
102,12,15.3
103,11.8,15.1
104,12.1,15.7
105,12.3,16
106,12.5,16.4
